         7x15E                    (7x15E.dat)
         v2024-0915
         Simulation Date: 02/05/2025

         AIRFOIL AERO DATA GENERATED USING:  POLARS                        

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1473      0.1923       0.000       0.016       0.011       0.194       0.002       0.050      26.363        0.03       6549.    0.2346
        0.52      0.0778      0.0596      0.1465      0.1912       0.000       0.016       0.011       0.193       0.002       0.050      26.356        0.03       6565.    0.2339
        1.03      0.1556      0.1190      0.1459      0.1907       0.000       0.016       0.011       0.192       0.002       0.050      26.324        0.03       6586.    0.2331
        1.55      0.2334      0.1781      0.1457      0.1910       0.000       0.016       0.011       0.193       0.002       0.050      26.249        0.03       6611.    0.2323
        2.06      0.3112      0.2362      0.1458      0.1921       0.000       0.016       0.011       0.194       0.002       0.050      26.115        0.03       6641.    0.2312
        2.58      0.3891      0.2929      0.1463      0.1943       0.000       0.017       0.011       0.196       0.002       0.050      25.905        0.03       6677.    0.2297
        3.09      0.4669      0.3474      0.1471      0.1976       0.000       0.017       0.011       0.199       0.002       0.050      25.608        0.03       6719.    0.2277
        3.61      0.5447      0.3992      0.1481      0.2021       0.000       0.017       0.011       0.204       0.002       0.050      25.218        0.03       6766.    0.2250
        4.13      0.6225      0.4474      0.1494      0.2078       0.000       0.018       0.011       0.210       0.002       0.051      24.734        0.03       6820.    0.2216
        4.64      0.7003      0.4917      0.1507      0.2147       0.000       0.018       0.012       0.216       0.002       0.051      24.162        0.03       6879.    0.2175
        5.16      0.7781      0.5316      0.1521      0.2226       0.000       0.019       0.012       0.224       0.002       0.052      23.512        0.03       6945.    0.2126
